country,employment,sexratio,urbanization,population,incomeperperson
Afghanistan,474,108,0.216,18100000,1030
Albania,481,97.1,0.389,3110000,4130
Algeria,307,103,0.56,28800000,9340
Angola,592,99.7,0.442,13900000,3410
Argentina,491,94.7,0.882,34800000,14000
Armenia,543,90,0.661,3220000,2170
Australia,583,99,0.849,18000000,30400
Austria,565,93.3,0.616,7990000,33800
Azerbaijan,583,95.5,0.522,7780000,3430
Bahamas,67,97.7,0.81,280000,28200
Bahrain,647,136,0.884,564000,42900
Bangladesh,553,106,0.217,115000000,1480
Barbados,565,92.7,0.356,266000,13300
Belarus,587,88.3,0.679,10100000,5460
Belgium,457,95.9,0.968,10200000,32600
Belize,514,101,0.464,207000,6200
Benin,718,96.1,0.368,5910000,1520
Bhutan,621,105,0.205,535000,2790
Bolivia,67,101,0.591,7620000,4080
Bosnia and Herzegovina,371,96.3,0.408,3830000,1830
Botswana,484,92.6,0.49,1470000,9310
Brazil,598,98.5,0.776,162000000,11100
Brunei,629,110,0.686,297000,86100
Bulgaria,462,95.9,0.678,8380000,8450
Burkina Faso,0.788,96,0.151,10100000,893
Burundi,0.861,95.5,0.0721,5990000,822
Cambodia,0.8,94.4,0.173,10700000,1040
Cameroon,0.712,99.1,0.426,13600000,2360
Canada,0.583,98,0.777,29200000,32300
Cape Verde,0.549,92.4,0.488,386000,2440
Central African Republic,0.674,97.2,0.372,3220000,899
Chad,0.683,98.8,0.215,7010000,1040
Chile,0.526,96.7,0.845,14400000,12100
China,0.751,105,0.31,1240000000,2560
Colombia,0.513,96.6,0.718,36400000,8750
Comoros,0.408,101,0.283,475000,2320
"Congo, Dem. Rep.",0.695,98,0.328,41600000,792
"Congo, Rep.",0.54,96.9,0.564,2710000,4740
Costa Rica,0.564,101,0.546,3550000,8870
Cote d'Ivoire,0.639,108,0.412,14200000,2970
Croatia,0.495,93.7,0.523,4620000,12800
Cuba,0.471,100,0.743,10900000,3810
Cyprus,0.58,102,0.68,855000,25500
Czech Republic,0.589,94.5,0.746,10400000,19300
Denmark,0.608,97.6,0.85,5230000,37200
Djibouti,0.583,101,0.763,630000,2520
Dominican Republic,0.597,101,0.576,7820000,6580
Ecuador,0.607,101,0.578,11500000,7720
Egypt,0.412,101,0.428,62300000,6280
El Salvador,0.573,94.3,0.54,5630000,5320
Equatorial Guinea,0.576,103,0.405,497000,2290
Eritrea,0.769,99.1,0.225,2200000,2220
Estonia,0.558,86.2,0.703,1430000,11400
Eswatini,0.425,91.3,0.223,927000,5810
Ethiopia,0.754,99.4,0.138,57000000,577
Fiji,0.564,103,0.455,775000,6290
Finland,0.497,94.9,0.81,5120000,27600
France,0.487,94.5,0.749,57800000,30700
Gabon,0.386,97.1,0.748,1080000,19900
Gambia,0.523,100,0.434,1130000,1360
Georgia,0.594,89.9,0.538,4980000,2330
Germany,0.534,94.1,0.739,81100000,33700
Ghana,0.702,102,0.401,17000000,2040
Greece,0.47,98.8,0.721,10700000,21200
Guatemala,0.605,97.4,0.437,10400000,5600
Guinea,0.626,92,0.295,7270000,1420
Guinea-Bissau,0.683,93.7,0.344,1090000,1710
Guyana,0.519,97,0.291,761000,3960
Haiti,0.612,96.9,0.326,7740000,1700
Honduras,0.642,98.7,0.429,5710000,3240
Hungary,0.444,91.5,0.652,10300000,15300
Iceland,0.727,101,0.916,268000,29000
India,0.582,108,0.266,964000000,2210
Indonesia,0.632,100,0.361,197000000,6010
Iran,0.394,104,0.602,61400000,12300
Iraq,0.381,102,0.688,20100000,6580
Ireland,0.474,98.6,0.579,3590000,26500
Israel,0.564,97.6,0.909,5270000,24100
Italy,0.418,94.3,0.669,57200000,33200
Jamaica,0.582,98,0.506,2530000,8460
Japan,0.616,96.9,0.78,126000000,32400
Jordan,0.364,110,0.782,4590000,6880
Kazakhstan,0.637,94,0.559,15800000,8280
Kenya,0.652,98.9,0.183,27800000,2170
Kuwait,0.667,138,0.981,1610000,81300
Kyrgyz Republic,0.608,97.4,0.363,4570000,1700
Lao,0.789,99.4,0.174,4850000,2030
Latvia,0.481,85.4,0.688,2510000,8280
Lebanon,0.399,98.9,0.848,3530000,9840
Lesotho,0.437,94.5,0.17,1900000,1510
Liberia,0.54,98.9,0.46,2040000,389
Libya,0.401,110,0.76,4950000,22000
Lithuania,0.509,89.1,0.673,3630000,9360
Luxembourg,0.488,96.4,0.829,408000,65400
Madagascar,0.815,99.4,0.258,13500000,1400
Malawi,0.711,98.4,0.133,9840000,826
Malaysia,0.599,104,0.557,20500000,14600
Maldives,0.505,102,0.256,254000,7780
Mali,0.489,97.8,0.255,9590000,1310
Malta,0.466,97.5,0.909,377000,19800
Mauritania,0.462,98.2,0.387,2310000,2880
Mauritius,0.542,99.4,0.433,1130000,9080
Mexico,0.557,96.7,0.734,91700000,13500
Moldova,0.469,91.4,0.463,4340000,3150
Mongolia,0.563,98.2,0.568,2300000,4240
Montenegro,0.366,98.8,0.534,620000,8000
Morocco,0.396,99,0.517,27000000,3930
Mozambique,0.653,91.1,0.275,15500000,380
Myanmar,0.72,94.7,0.261,43900000,913
Namibia,0.453,93.2,0.298,1630000,6070
Nepal,0.823,102,0.109,21600000,1340
Netherlands,0.543,98.1,0.728,15500000,35000
New Zealand,0.601,97.2,0.856,3670000,25500
Nicaragua,0.491,98.1,0.544,4650000,2910
Niger,0.744,97,0.158,9490000,784
Nigeria,0.532,101,0.322,108000000,2990
North Korea,0.768,95.1,0.59,21900000,1760
North Macedonia,0.351,101,0.596,1980000,7640
Norway,0.592,97.8,0.738,4370000,50100
Oman,0.583,146,0.717,2200000,38300
Pakistan,0.467,107,0.318,124000000,3330
Palestine,0.336,103,0.702,2620000,3320
Panama,0.536,102,0.581,2740000,9260
Papua New Guinea,0.689,103,0.141,5190000,2980
Paraguay,0.671,103,0.521,4780000,8720
Peru,0.606,99.2,0.71,24300000,6160
Philippines,0.602,102,0.466,69800000,3960
Poland,0.507,94.7,0.615,38500000,11300
Portugal,0.543,92.9,0.511,10100000,21900
Qatar,0.764,193,0.95,513000,73500
Romania,0.629,96.6,0.538,23000000,10400
Russia,0.562,88.3,0.734,148000000,12800
Rwanda,0.87,94.7,0.0984,5840000,692
Samoa,0.334,108,0.215,170000,3690
Sao Tome and Principe,0.463,98,0.486,132000,2000
Saudi Arabia,0.489,124,0.787,18600000,44200
Senegal,0.499,98.4,0.396,8690000,2230
Serbia,0.494,97.1,0.517,9880000,7350
Sierra Leone,0.624,98,0.344,4300000,950
Singapore,0.629,103,1,3530000,45600
Slovak Republic,0.521,94.8,0.565,5380000,13200
Slovenia,0.537,94.3,0.506,1990000,18400
Solomon Islands,0.686,106,0.147,359000,2400
Somalia,0.456,101,0.314,7490000,637
South Africa,0.443,97.5,0.545,41400000,9170
South Korea,0.604,101,0.782,45300000,16600
South Sudan,0.652,99,0.159,5120000,2220
Spain,0.386,95.9,0.759,39800000,25100
Sri Lanka,0.488,101,0.185,18200000,4460
St. Lucia,0.53,96.3,0.288,147000,10200
St. Vincent and the Grenadines,0.52,100,0.434,108000,6620
Sudan,0.442,101,0.322,24100000,1980
Suriname,0.458,103,0.661,442000,9500
Sweden,0.58,97.7,0.838,8840000,31100
Switzerland,0.648,95.5,0.737,7000000,46300
Syria,0.49,102,0.501,14300000,5500
Tajikistan,0.534,99.6,0.289,5760000,1280
Tanzania,0.798,99,0.205,29600000,1440
Thailand,0.738,98.7,0.303,59500000,9390
Timor-Leste,0.568,102,0.225,844000,3660
Togo,0.803,96.9,0.307,4230000,1160
Tonga,0.586,103,0.229,96000,4270
Trinidad and Tobago,0.498,99.3,0.55,1250000,12900
Tunisia,0.406,102,0.615,9130000,6120
Turkey,0.494,97.3,0.621,58500000,12300
Turkmenistan,0.61,97,0.448,4210000,4600
Uganda,0.687,97.6,0.128,20400000,922
Ukraine,0.564,87.3,0.67,50900000,5060
United Arab Emirates,0.738,198,0.783,2420000,102000
United Kingdom,0.555,94.6,0.784,57900000,28500
United States,0.621,96.6,0.773,265000000,39200
Uruguay,0.561,94,0.905,3220000,11500
Uzbekistan,0.585,98.9,0.437,22800000,2260
Vanuatu,0.664,105,0.202,168000,2610
Venezuela,0.564,101,0.86,21900000,15500
Vietnam,0.759,98.1,0.222,74900000,1960
Yemen,0.416,102,0.238,14900000,3630
Zambia,0.656,98.7,0.371,9100000,2040
Zimbabwe,0.699,97.8,0.317,11400000,2740
Antigua and Barbuda,0,91.4,0.34,68700,17700
Grenada,0,98.5,0.345,100000,7120
Kiribati,0,98.3,0.364,77700,1870
"Micronesia, Fed. Sts.",0,105,0.251,108000,3140
Seychelles,0,100,0.496,76700,15100
Andorra,0,0,0.937,63900,26100
Dominica,0,0,0.648,71100,7180
Liechtenstein,0,0,0.165,30900,0
Marshall Islands,0,0,0.667,50500,3550
Monaco,0,0,1,30700,44500
Nauru,0,0,1,10600,11700
Palau,0,0,0.714,17200,12800
San Marino,0,0,0.917,25900,61700
St. Kitts and Nevis,0,0,0.337,42100,18000
Tuvalu,0,0,0.44,9300,2650
Holy See,0,0,0,778,0
